Title,ID,Views,Likes,Dislikes,Comments,Like Percentage,Dislike Percentage
 Nursery Rhymes and Baby Songs | Kids Songs | Dave and Ava ,YDKP3fBtSe0,82851,1102,764,0,0.013300986107590736,0.009221373308710819
" Baby Shark , Five Little Monkey , Wheels on the Bus , Happy Birthday Song - Banana Cartoon",hvboSC9C1Y8,110190,2081,1021,0,0.018885561303203558,0.009265813594700063
 Wheel on the Bus | Nursery Rhymes and Kids Songs | Baby Songs,EZZ3mOzEpsA,140736,1201,744,0,0.008533708503865393,0.005286493860845839
UNEXPECTED NEWS At The BABY CHECK UP! **WE CAN&#39;T BELIEVE IT** | The Royalty Family,EJCceU4i4BA,629441,55356,853,0,0.08794470013869449,0.0013551706990806128
"Quality Control, Lil Baby, &amp; DaBaby - &quot;Baby&quot; (Official Music Video)",0GbwYFqN1iE,77656287,739673,36965,25854,0.009524959646860273,0.0004760078214916456
Lil Baby - Sum 2 Prove (Official Video),xOjy0tL5EuA,1494997,112585,1228,4775,0.07530784342711055,0.0008214063305812654
"Quality Control, Lil Baby, DaBaby - Baby (Audio)",Cn3zeRl_f6c,21519060,122922,4959,1699,0.005712238359854008,0.00023044686896174832
" Baby Shark , Yes Yes Mother Song  , Wheels on the Bus , Happy Birthday Song - Banana Cartoon [HD]",T9ewZqSDgA8,794968,5365,2471,0,0.006748699318714716,0.003108301214640086
Justin Bieber - Baby ft. Ludacris (Official Music Video),kffacxfA7G4,2193878220,12851300,11113704,4684457,0.005857800074244778,0.005065779813430119
BABY ALIVE has a FUN DAY at the MALL! PIZZA and TREATS! The Lilly and Mommy Show! FUNNY KIDS SKIT!,nzSx6xnCpAQ,77988,801,117,0,0.01027081089398369,0.0015002308047391906
" Baby Shark , My Father and Sons , Wheels on the Bus , Happy Birthday Song - Banana Cartoon [HD]",AbK3S7zKnh0,1300279,7410,3550,0,0.00569877695479201,0.0027301832914320696
ABC Song | Boo Boo Song | Baby Shark | Bath Song | Baby Song | Cartoon | Nursery Rhymes &amp; Kids Song,npi-86VKkjY,2381091,18658,13358,0,0.007835903793681131,0.0056100333838563915
"Yes, Yes, Baby Go to Sleep | Kids Songs &amp; Nursery Rhymes by Little Angel",gatq1ose0mQ,29744376,134096,70605,974,0.004508280825928236,0.0023737260448832413
Baby Alive Daycare Routine Valentine&#39;s Day,MNvQAcenWS8,80353,759,112,0,0.009445820317847497,0.00139384963847025
BABY ALIVE Mix my medicine doll Night routine,R3GiOrVZ_u0,9127,168,26,0,0.018406924509696505,0.002848690697929221
" Baby Shark , My Sister Song , Wheels on the Bus , Happy Birthday Song - Banana Cartoon",SqBpb4lgmU8,669081,4977,2419,0,0.007438561250431562,0.0036154068042583785
THEY FINALLY CAME EVERYONE MEET OUR NEW BABY TWIN&#39;S,fVbUKNox4lg,1585258,120154,1866,0,0.07579460251895906,0.0011770954633252126
Baby Siblings Playing and Laughing Together,eAnkDcH1mfw,441097,2374,978,22,0.005382036150778627,0.002217199391517059
ABC Song | Boo Boo Song | Wheels On The Bus | Baby Shark | Nursery Rhymes &amp; Songs for Babies,A43V0X39h8c,19186,375,237,0,0.019545501928489525,0.012352757218805379
Baby Alive Abby Packing For Vacation [?],RrHjEZDDGLQ,1043386,4916,1437,0,0.00471158324915228,0.0013772467715687194
